6.713	3.954E-4	3.946E-4
6.745	6.217E-4	5.622E-4
6.777	2.937E-4	6.854E-4
6.808	8.971E-4	8.071E-4
6.840	9.307E-4	8.033E-4
6.872	9.246E-4	6.892E-4
6.903	6.836E-4	5.667E-4
6.935	6.267E-4	5.689E-4
6.967	-4.115E-4	-1.248E-4
6.998	-4.609E-4	-1.726E-4
7.030	-1.267E-5	-1.070E-4
7.062	2.471E-4	-3.444E-4
7.093	4.706E-4	-5.309E-4
7.125	5.320E-4	-7.389E-4
7.157	4.698E-4	-7.982E-4
7.188	2.810E-4	-9.655E-4
7.220	3.073E-4	-9.677E-4
7.252	4.318E-4	-8.532E-4
7.283	5.305E-4	-6.430E-4
7.315	5.236E-4	-4.688E-4
7.347	4.620E-4	-2.184E-4
7.378	1.638E-4	-1.400E-4
7.410	-4.191E-4	-1.478E-4
7.442	-4.151E-4	6.039E-6
7.473	-2.004E-4	2.431E-4
7.505	7.737E-4	6.619E-4
7.537	1.028E-3	8.992E-4
7.568	1.214E-3	8.600E-4
7.600	1.354E-3	8.568E-4
7.632	1.314E-3	8.976E-4
7.663	1.128E-3	6.949E-4
7.695	8.173E-4	5.981E-4
7.727	3.335E-4	3.955E-4
7.758	1.827E-4	2.838E-4
7.790	-1.003E-5	-1.822E-5
7.822	6.311E-5	-3.522E-4
7.853	3.724E-4	-5.331E-4
7.885	5.554E-4	-8.252E-4
7.917	5.019E-4	-9.816E-4
7.948	3.144E-4	-1.139E-3
7.980	2.328E-4	-1.171E-3
8.012	2.129E-4	-1.165E-3
8.043	3.616E-4	-1.025E-3
8.075	5.553E-4	-8.795E-4
8.107	5.301E-4	-6.484E-4
8.138	3.770E-4	-3.512E-4
8.170	1.527E-4	-1.594E-4
8.202	1.652E-4	1.268E-4
8.233	2.699E-4	3.836E-4
8.265	2.762E-4	6.609E-4
8.297	4.915E-4	6.925E-4
8.328	1.049E-3	1.009E-3
8.360	1.419E-3	1.155E-3
8.392	1.761E-3	1.222E-3
8.423	1.638E-3	1.073E-3
8.455	1.291E-3	9.518E-4
8.487	7.702E-4	5.581E-4
8.518	2.435E-4	3.451E-4
8.550	-1.920E-4	1.035E-4
8.582	-1.935E-4	-4.358E-5
8.613	-3.042E-5	-2.705E-4
8.645	5.272E-4	-5.929E-4
8.677	8.143E-4	-8.773E-4
8.708	8.538E-4	-1.038E-3
8.740	6.051E-4	-1.111E-3
8.772	3.311E-4	-1.166E-3
8.803	-1.327E-5	-1.203E-3
8.835	5.452E-4	-9.929E-4
8.867	6.161E-4	-8.216E-4
8.898	7.501E-4	-4.914E-4
8.930	6.403E-4	-3.209E-4
8.962	2.086E-4	-8.905E-5
8.993	-2.073E-5	2.204E-4
9.025	1.557E-4	4.933E-4
9.057	5.792E-4	6.930E-4
9.088	1.148E-3	9.819E-4
9.120	1.680E-3	1.306E-3
9.152	2.076E-3	1.348E-3
9.183	2.150E-3	1.275E-3
9.215	1.940E-3	1.248E-3
9.247	1.698E-3	1.017E-3
9.278	1.083E-3	8.339E-4
9.310	2.854E-4	4.501E-4
9.342	-1.960E-4	9.995E-5
9.373	-1.955E-4	-2.204E-4
9.405	3.502E-4	-4.107E-4
9.437	8.007E-4	-6.782E-4
9.468	9.166E-4	-9.755E-4
9.500	7.640E-4	-1.178E-3
9.532	5.168E-4	-1.349E-3
9.563	5.218E-4	-1.326E-3
